Time/d,Treatment,pH
0,F10,6.258572183
1,F10,7.204743847
3,F10,8.272940133
5,F10,8.39978734
7,F10,8.499347704
0,F30,6.258572183
1,F30,7.248358231
3,F30,8.446865856
5,F30,8.431874666
7,F30,8.288873064
0,F50,6.258572183
1,F50,7.384757767
3,F50,7.859088523
5,F50,8.450419503
7,F50,8.522989624
0,F70,6.258572183
1,F70,7.196951496
3,F70,7.798538844
5,F70,8.355510942
7,F70,8.448673772
0,F90,6.258572183
1,F90,6.865743728
3,F90,8.23232563
5,F90,8.492131267
7,F90,8.105401418
0,F10,6.316401469
1,F10,7.121523379
3,F10,8.146966346
5,F10,8.322741676
7,F10,8.429870161
0,F30,6.316401469
1,F30,7.195670746
3,F30,8.516173383
5,F30,8.504756078
7,F30,8.340174817
0,F50,6.316401469
1,F50,7.446454034
3,F50,7.765867809
5,F50,8.388439609
7,F50,8.607454274
0,F70,6.316401469
1,F70,7.228525945
3,F70,7.864758188
5,F70,8.411821486
7,F70,8.335776321
0,F90,6.316401469
1,F90,6.939748946
3,F90,8.316131465
5,F90,8.419081497
7,F90,8.18090463
0,F10,6.200742897
1,F10,7.287964315
3,F10,8.39891392
5,F10,8.476833004
7,F10,8.568825247
0,F30,6.200742897
1,F30,7.301045716
3,F30,8.377558329
5,F30,8.359083554
7,F30,8.237571311
0,F50,6.200742897
1,F50,7.3230615
3,F50,7.952309237
5,F50,8.512399397
7,F50,8.438524974
0,F70,6.200742897
1,F70,7.165377047
3,F70,7.7323195
5,F70,8.299200398
7,F70,8.561571223
0,F90,6.200742897
1,F90,6.79173851
3,F90,8.148519795
5,F90,8.565180037
7,F90,8.029898206
